Name,Price
AMD Ryzen 3 2200G Quad-Core Processor With Radeon Vega 8 Graphics,"9,300৳"
Intel Pentium Gold G5400 8th Gen Processor,"7,000৳"
AMD RYZEN 5 1400 4-Core 3.2GHz Turbo Core Speed 3.4GHz Processor,"13,500৳"
Intel 7th Generation Pentium Processor G4560,"7,700৳"
AMD Ryzen 5 2400G Desktop Processor with Radeon RX Vega 11 Graphics,"14,500৳"
Intel 8th Generation Core i3-8100 Processor,"11,200৳"
Intel 7th Generation Core i3-7100 Processor,"12,000৳"
AMD Ryzen 5 2600 Processor,"17,500৳"
Intel 9th Gen Core i5 9400F Processor,"16,800৳"
Intel 7th Generation Core i5-7400 Processor,"17,300৳"
AMD Ryzen 5 2600X Processor,"20,500৳"
Intel 8th Generation Core i5-8400 Processor,"17,800৳"
Intel Core i5-7640X X-series Kaby Lake Processor,"20,800৳"
AMD Ryzen 7 2700 Desktop Processor,"28,000৳"
Intel 9th Generation Core i5-9600K Processor,"24,000৳"
AMD Ryzen 7 2700X Processor,"29,500৳"
Intel® 7th Generation Core™ i7-7700 Processor,"28,500৳"
AMD Ryzen Threadripper 1900X 8-core/16 thread Desktop Processor,"43,500৳"
AMD Ryzen Threadripper 1920X 12-core/24-thread Desktop Processor,"45,000৳"
Intel 8th Generation Core i7-8700 Processor,"29,500৳"
Intel 8th Generation Core i7-8700K Processor,"37,500৳"
Intel 9th Generation Core i7-9700K Processor,"39,000৳"
AMD Ryzen Threadripper 1950X 16-core/32-thread Desktop Processor,"71,500৳"
Intel 9th generation Core i9-9900K Processor,"49,500৳"
Intel 6th Generation Core i7-6900K Processor,"80,500৳"
Intel Core i9 7900x X-series Skylake Processor,"80,800৳"
AMD Ryzen™ Threadripper™ 2990WX Processor,0৳
Intel 6th Generation Pentium Processor G4400,"7,000৳"
Intel 8th Generation Core i5-8500 Processor,"23,200৳"
Intel 8th Generation Core i5-8600k Processor,"23,600৳"
Intel® 7th Generation Core™ i5-7500 Processor,"17,500৳"
